COURSE,DEPARTMENT,COURSE ID,CLASS NBR,TOTAL ENROLLMENT,GSAS,HCOL,NONDGR,VUS,XREG
ANTHRO 2070B,ANTH,120488,12813,5,5,,,,
ANTHRO 2091R,ANTH,124667,17045,5,5,,,,
ANTHRO 2640,ANTH,161271,18450,5,1,1,,,3
ANTHRO   91ZR,ANTH,123453,12864,4,,4,,,
ANTHRO   99ZB,ANTH,159858,18341,4,,4,,,
ANTHRO 1836AR,ANTH,156390,11417,4,3,1,,,
ANTHRO 1876,ANTH,110317,15631,4,1,2,,,1
ANTHRO 3000,ANTH,113022,16035,4,4,,,,
ANTHRO 3001,ANTH,116603,17326,4,4,,,,
ANTHRO   97X,ANTH,113567,12172,3,,3,,,
ANTHRO 2175,ANTH,119387,17043,3,3,,,,
ANTHRO   99ZB,ANTH,159858,18340,2,,2,,,
ANTHRO 2170,ANTH,161205,17012,2,1,1,,,
ANTHRO 3000,ANTH,113022,16048,2,2,,,,
ANTHRO 3000,ANTH,113022,16050,2,2,,,,
ANTHRO 3200,ANTH,110152,10808,2,2,,,,
ANTHRO 3500,ANTH,111058,17365,2,2,,,,
ANTHRO   98XB,ANTH,113211,10862,1,,1,,,
ANTHRO 1060,ANTH,111192,10216,1,1,,,,
ANTHRO 3000,ANTH,113022,16034,1,1,,,,
ANTHRO 3000,ANTH,113022,16058,1,1,,,,
ANTHRO 3000,ANTH,113022,20141,1,1,,,,
ANTHRO 3001,ANTH,116603,17325,1,1,,,,
ANTHRO 3001,ANTH,116603,17334,1,1,,,,
ANTHRO 3400,ANTH,119079,17377,1,1,,,,
ANTHRO 3400,ANTH,119079,17391,1,1,,,,
ANTHRO 3500,ANTH,111058,17354,1,1,,,,
ANTHRO 3500,ANTH,111058,17367,1,1,,,,
APMTH  105,APMA,143432,15759,114,4,106,,3,1
APMTH   21B,APMA,115123,12094,104,1,102,,1,
APMTH  207,APMA,127561,14095,61,56,3,1,,1
APMTH  120,APMA,113876,14590,50,,49,,,1
APMTH   50,APMA,122564,12729,37,,37,,,
APMTH  106,APMA,135449,15537,30,,29,,1,
APMTH  216,APMA,135919,15672,23,21,2,,,
APMTH  115,APMA,118021,12578,20,,20,,,
APMTH  221,APMA,107600,10230,20,13,5,,,2
APMTH   91R,APMA,121692,12995,19,,18,,,
APMTH  107,APMA,118482,15760,17,,17,,,
APMTH  141R,APMA,110333,18521,17,,17,,,
APMTH  222,APMA,109344,18399,14,3,6,2,1,2
APMTH  111,APMA,120198,15761,10,,10,,,
APMTH  141R,APMA,110333,18522,9,,8,,,1
APMTH  232,APMA,161259,18322,9,7,1,,,1
